Paper,Date,Category,Task,Task details,Architecture,Loss,Dependent Variable,Scaling Variable 1,Scaling Variable 2,Type,Functional form,Exponent 1,Exponent 2,Irreducible loss,Parameter values,Compute range (FLOP),,Data range (mixed),,Data unit,Size range (parameters),,Additional Conditions,Scaling strategy
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"16x16 Image modeling, VQ encoding",Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.11,,4.09,"K=32.31, c=0.11",1.00E+13,1.73E+20,,1.00E+08,64x64 VQ256 Images,1.00E+05,3.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"32x32 Image modeling, VQ encoding",Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.14,,3.07,"A=3.972, a=0.14",3.46E+14,2.59E+20,,1.00E+08,64x64 VQ1024 Images,1.00E+05,3.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"32x32 Image modeling, VQ encoding",Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.12,,3.17,"K=52.74, c=0.12",3.46E+14,2.59E+20,,1.00E+08,64x64 VQ1024 Images,1.00E+05,3.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Multimodal,Text-to-Image generation,,Decoder-only Transformer,Cross-entropy (text),Loss,Parameters,,Power law,L(N) = AN^-a,0.037,,,"A=2.107, a=0.037",1.73E+16,3.46E+20,,,"Captions (32x32 Image, 128 BPE token)",1.00E+05,8.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Multimodal,Text-to-Image generation,,Decoder-only Transformer,Cross-entropy (image),Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.16,,2,"A=3.919, a=0.16",1.73E+16,3.46E+20,,,"Captions (32x32 Image, 128 BPE token)",1.00E+05,8.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Multimodal,Text-to-Image generation,,Decoder-only Transformer,Cross-entropy (combined),Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.15,,1.93,"K=130.8, c=0.15",1.73E+16,3.46E+20,,,"Captions (32x32 Image, 128 BPE token)",1.00E+05,8.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Multimodal,Image captioning,,Decoder-only Transformer,Cross-entropy (text),Loss,Parameters,,Power law,L(N) = AN^-a,0.039,,,"A=2.212, a=0.039",2.59E+16,3.46E+19,,,"Captions (32x32 Image, 128 BPE token)",1.00E+05,1.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Multimodal,Image captioning,,Decoder-only Transformer,Cross-entropy (image),Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.15,,2,"A=3.639, a=0.15",2.59E+16,3.46E+19,,,"Captions (32x32 Image, 128 BPE token)",1.00E+05,1.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Multimodal,Image captioning,,Decoder-only Transformer,Cross-entropy (combined),Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.16,,1.97,"K=181.1, c=0.16",2.59E+16,3.46E+19,,,"Captions (32x32 Image, 128 BPE token)",1.00E+05,1.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Video,Video generation,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^-a,0.24,,1.01,"A=12.48, a=0.24",8.64E+13,4.32E+20,,1.00E+02,64x64 VQ256 Video hours,1.00E+04,8.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Video,Video generation,,Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law,L(C) = KC^-c,0.14,,0.95,"K=137.7, c=0.14",8.64E+13,4.32E+20,,1.00E+02,64x64 VQ256 Video hours,1.00E+04,8.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Language,Mathematics,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^-a,0.16,,0.28,"A=4.432, a=0.16",2.59E+14,4.32E+20,,,Characters (bytes),2.00E+05,3.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Language,Mathematics,,Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law,L(C) = KC^-c,0.17,,0.14,"K=366.4, c=0.17",2.59E+14,4.32E+20,,,Characters (bytes),2.00E+05,3.00E+09,,
Training Compute-Optimal Large Language Models,29 Mar 2022,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,Data,Bivariate power law plus constant - sum,"L(N,D) = AN^-a + BD^-b + E",0.34,0.28,1.69,"A=406.4, a=0.34, B=410.7, b=0.28, E=1.69",6.00E+18,3.00E+21,1.00E+07,1.00E+09,BPE Tokens,2.00E+07,1.60E+10,,
Revisiting Neural Scaling Laws in Language and Vision,13 Sept 2022,"Language, Vision",Multiple,,Multiple,Multiple,Loss,Data,,Power law with transition,(L-E)/(I-L)^alpha = BD^-b,,,,,,,,,,,,,
Scaling Laws for a Multi-Agent Reinforcement Learning Model,29 Sept 2022,"Games, RL",ConnectFour,,AlphaZero,Player strength,Loss,Parameters,,Power law,L(N) = N^a,0.88,,,a=0.88,1.50E+11,3.00E+16,2.00E+01,1.00E+04,Training Steps,6.00E+02,2.00E+05,,Width scaling
Scaling Laws for a Multi-Agent Reinforcement Learning Model,29 Sept 2022,"Games, RL",ConnectFour,,AlphaZero,,Loss,Compute,,Power law,L(C) = C^c,0.55,,,c=0.55,1.50E+11,3.00E+16,2.00E+01,1.00E+04,Training Steps,6.00E+02,2.00E+05,,Width scaling
Scaling Laws for a Multi-Agent Reinforcement Learning Model,29 Sept 2022,"Games, RL",Pentago,,AlphaZero,Player strength,Loss,Parameters,,Power law,L(N) = N^a,0.87,,,a=0.87,4.00E+11,4.00E+16,2.00E+01,1.00E+04,Training Steps,2.00E+03,3.00E+05,,Width scaling
Scaling Laws for a Multi-Agent Reinforcement Learning Model,29 Sept 2022,"Games, RL",Pentago,,AlphaZero,,Loss,Compute,,Power law,L(C) = C^c,0.55,,,c=0.55,4.00E+11,4.00E+16,2.00E+01,1.00E+04,Training Steps,2.00E+03,3.00E+05,,Width scaling
A Scaling Law for Syn2real Transfer: How Much Is Your Pre-training Effective?,25 Aug 2021,"Vision, Transfer",Multiple,,ResNet,Finetuning loss,Loss,Pretraining Data,,Power law plus constant,L(D) = BD^-b + G,,,,,,,,,,,,,
Effect of scale on catastrophic forgetting in neural networks,21 Sep 2022,Vision,,,,,,,,,,,,,,,,,,,,,,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=1.969, E=0.057, b=0.285",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Hybrid Transformer-LSTM,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=1.817, E=0.11, b=0.285",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Decoder-only Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.011, E=0.078, b=0.285",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.222, E=0.067, b=0.296",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Source noise,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.772, E=0.323, b=0.296",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Target noise,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.501, E=0.034, b=0.278",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,No filtering,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.235, E=0.054, b=0.278",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,CDS filtering,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.130, E=0.064, b=0.278",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Bicleaner filtering,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.343, E=0.059, b=0.198",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Back-translation 2L2L,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.288, E=0.054, b=0.198",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Back-translation 6L6L,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.251, E=0.040, b=0.198",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Back-translation 32L6L,
Data Scaling Laws in NMT: The Effect of Noise and Architecture,4 Feb 2022,Language,Translation,English to German,Encoder-Decoder Transformer,Cross-entropy,Loss,Data,,Power law plus constant,L(D) = B(D^-1 + E)^b,,,,"B=2.224, E=0.037, b=0.198",,,5.12E+05,5.12E+08,Sentence pairs,3.00E+08,3.00E+08,Back-translation 64L6L,
Scaling Laws for Reward Model Overoptimization,19 Oct 2022,RL,,,,,,,,,,,,,,,,,,,,,,
Beyond neural scaling laws: beating power law scaling via data pruning,15 Nov 2022,"Vision, Classification",Image classification,,ResNet,Test error,Loss,Data,,Exponential,L(D) = B exp(-bD),,,,,,,,,,,,Increasingly aggresive data pruning with a perfect pruning metric,
Transcending Scaling Laws with 0.1% Extra Compute,20 Oct 2022,Language,,,,,,,,,,,,,,,,,,,,,,
Learning Curve Theory,8 Feb 2021,Theory,,,,,,,,,,,,,,,,,,,,,,
Explaining Neural Scaling Laws,12 Feb 2021,Theory,,,,,,,,,,,,,,,,,,,,,,
Scaling Laws for Deep Learning,17 Aug 2021,Theory,,,,,,,,,,,,,,,,,,,,,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Encoder-Decoder Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.54,,,,1.21E+12,6.38E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Encoder-Decoder Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.28,,,,1.21E+12,6.38E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Encoder-Decoder Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.47,,,,1.21E+12,6.38E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Encoder-Decoder Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.24,,,,1.21E+12,6.38E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Encoder-Decoder Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.49,,,,1.21E+12,6.38E+13,,,,1.60E+07,2.90E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Evolved Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.44,,,,1.31E+12,7.13E+13,,,,1.90E+07,2.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Evolved Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.22,,,,1.31E+12,7.13E+13,,,,1.90E+07,2.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Evolved Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.42,,,,1.31E+12,7.13E+13,,,,1.90E+07,2.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Evolved Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.21,,,,1.31E+12,7.13E+13,,,,1.90E+07,2.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Evolved Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.47,,,,1.31E+12,7.13E+13,,,,1.90E+07,2.20E+09,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Universal Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.5,,,,1.77E+12,2.76E+13,,,,1.10E+07,2.83E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Universal Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.2,,,,1.77E+12,2.76E+13,,,,1.10E+07,2.83E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Universal Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.56,,,,1.77E+12,2.76E+13,,,,1.10E+07,2.83E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Universal Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.22,,,,1.77E+12,2.76E+13,,,,1.10E+07,2.83E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Universal Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.35,,,,1.77E+12,2.76E+13,,,,1.10E+07,2.83E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Switch Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.23,,,,3.25E+12,4.33E+13,,,,1.74E+08,2.96E+10,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Switch Transformer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.14,,,,3.25E+12,4.33E+13,,,,1.74E+08,2.96E+10,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Switch Transformer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.13,,,,3.25E+12,4.33E+13,,,,1.74E+08,2.96E+10,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Switch Transformer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.08,,,,3.25E+12,4.33E+13,,,,1.74E+08,2.96E+10,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Switch Transformer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.58,,,,3.25E+12,4.33E+13,,,,1.74E+08,2.96E+10,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Performer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.25,,,,1.14E+12,3.28E+13,,,,1.60E+07,7.39E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Performer,Downstream Accuracy,Loss,Compute,,Power law,L(C) = KC^c,0.05,,,,1.14E+12,3.28E+13,,,,1.60E+07,7.39E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Performer,Upstream Negative Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^a,0.24,,,,1.14E+12,3.28E+13,,,,1.60E+07,7.39E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Performer,Downstream Accuracy,Loss,Parameters,,Power law,L(N) = AN^a,0.05,,,,1.14E+12,3.28E+13,,,,1.60E+07,7.39E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Performer,Downstream Accuracy,Loss,Upstream Negative Cross-entropy,,Power law,Ld(Lu) = GLu^l,0.24,,,,1.14E+12,3.28E+13,,,,1.60E+07,7.39E+08,,
Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling?,21 Jul 2022,Language,Language modeling,,Funnel Transformer,Upstream Negative Cross-entropy,Loss,Compute,,Power law,L(C) = KC^c,0.47,,,,1.10E+12,4.03E+13,,,,1.60E+07,2.90E+09,,
